,0,1,2
2,0.002075714766468445,0.001433516895243032,0.00693701994471505
3,0.0028667973874682636,0.002956429061925309,0.01157134802083095
4,0.004857953095369628,0.003519410460756289,0.027050254202197584
5,0.0024078372344102585,0.0017446456540739204,0.0008673187250796858
6,0.002830412864861285,0.0029813595621498066,0.021306163069454962
7,0.0018818016482586865,0.0009556363304607875,0.0006523735086907068
8,0.005857916892779294,0.003840156199438962,0.0012159741886485142
9,0.00553697569340233,0.002243297878094449,0.0016425189925131389
0,0.0019171290696348693,0.002247717748299282,0.01861487054293141
1,0.002085793618223505,0.0019684641639382446,0.0011624270042879662
2,0.0015491625524360166,0.0013291368190109854,0.003638759837228843
3,0.0028667973874682636,0.002956429061925309,0.01157134802083095
4,0.004857953095369628,0.003519410460756289,0.027050254202197584
5,0.0023624017188423273,0.0016812247303020149,0.0008136595076479427
6,0.002830412864861285,0.0029813595621498066,0.021306163069454962
7,0.0023159215177731064,0.0010113243440792233,0.0006590233736509279
8,0.005857916892779294,0.003840156199438962,0.0012159741886485142
9,0.00553697569340233,0.002243297878094449,0.0016425189925131389
0,0.002759802385919948,0.0033564671568929645,0.021729443216659934
1,0.0019698918974718344,0.0012060160089107587,0.0009109202791050064
2,0.0035970218380956954,0.002265264799998711,0.009741551037615663
3,0.003447838430708832,0.003747791887984913,0.016230847620478443
4,0.004255316518538182,0.002791210314601862,0.022375503800884364
5,0.003215390430355138,0.001958408868393216,0.0009488938484054276
6,0.0032166050954523413,0.0031399906341402777,0.022149810697057314
7,0.0022654414059353717,0.0009487531591176776,0.0006318936818777148
8,0.005857916892779294,0.003840156199438962,0.0012159741886485142
9,0.005450277405371029,0.0024707279667537958,0.0017277015172967717
0,0.002759802385919948,0.0033564671568929645,0.021729443216659934
1,0.002314209950444643,0.0013159322957650727,0.0009137100823879142
2,0.0030875836604426026,0.0017441192112007985,0.0077347171435855145
3,0.004120555731324839,0.003986057435155871,0.017684402975720676
4,0.0043614570176065855,0.002859686486276379,0.020952668472744365
5,0.003215390430355138,0.001958408868393216,0.0009488938484054276
6,0.0032166050954523413,0.0031399906341402777,0.022149810697057314
7,0.002417217875477489,0.001068699851205327,0.0007118590263907689
8,0.005857916892779294,0.003840156199438962,0.0012159741886485142
9,0.005450277405371029,0.0024707279667537958,0.0017277015172967717
0,0.002769775415819871,0.0032707226643939368,0.025669892535612186
1,0.0015170789237623791,0.0012818986462732327,0.0008786732882942994
2,0.004574414010477292,0.002098471618034362,0.012300776819442015
3,0.004120555731324839,0.003986057435155871,0.017684402975720676
4,0.004601588787848704,0.0029053738670926426,0.02354138271172078
5,0.003215390430355138,0.001958408868393216,0.0009488938484054276
6,0.0032166050954523413,0.0031399906341402777,0.022149810697057314
7,0.002619676766271908,0.001247863825493452,0.0007718979521367183
8,0.005857916892779294,0.003840156199438962,0.0012159741886485142
9,0.005450277405371029,0.0024707279667537958,0.0017277015172967717
0,0.002558712591244129,0.002212960909331873,0.012745449084988576
1,0.0025917576779723598,0.001282151085048723,0.0009481022029614621
2,0.004803681751726611,0.0024940424041569455,0.014621534236546403
3,0.004120555731324839,0.003986057435155871,0.017684402975720676
4,0.003962935162189577,0.0028000675618235237,0.022708736719683018
5,0.0026584231701099054,0.001938620436423058,0.0009322397435399574
6,0.003641619690621213,0.003360004260092818,0.028616715730192067
7,0.002619676766271908,0.001247863825493452,0.0007718979521367183
8,0.005857916892779294,0.003840156199438962,0.0012159741886485142
9,0.005450277405371029,0.0024707279667537958,0.0017277015172967717
0,0.0023463070758257647,0.00201034161935985,0.009556072366509025
1,0.002645318115164473,0.001335373236791661,0.0010128157636390513
2,0.004803681751726611,0.0024940424041569455,0.014621534236546403
3,0.004120555731324839,0.003986057435155871,0.017684402975720676
4,0.003962935162189577,0.0028000675618235237,0.022708736719683018
5,0.0033374096222871666,0.0023041047304399286,0.0010733170874877873
6,0.0034575471231401795,0.0029796099985869035,0.02462834639852294
7,0.0030437489081264735,0.0016091197925444806,0.0008877185303183863
8,0.005857916892779294,0.003840156199438962,0.0012159741886485142
9,0.005450277405371029,0.0024707279667537958,0.0017277015172967717
0,0.002012248214834394,0.0020059851319430082,0.013029135532298924
1,0.0030411812559848176,0.001602169269154145,0.0011447632226302305
2,0.004803681751726611,0.0024940424041569455,0.014621534236546403
3,0.004621283501033599,0.0033868123497810504,0.02151465782839063
4,0.0036793925314902816,0.0025838282895699755,0.020003569831962137
5,0.0033374096222871666,0.0023041047304399286,0.0010733170874877873
6,0.0034575471231401795,0.0029796099985869035,0.02462834639852294
