,0,1
2,1.2061191627612917,1.3126910588934124
3,1.2600317413497117,1.334275754563813
4,1.3088016009778183,1.3530382261106872
0,1.077522517419306,1.2583890454420774
1,1.1458500275301204,1.2876571255595186
2,1.2061191627612917,1.3126910588934124
3,1.2600317413497117,1.334275754563813
4,1.3088016009778183,1.3530382261106872
0,1.077522517419306,1.2583890454420774
1,1.1458500275301204,1.2876571255595186
2,1.2061191627612917,1.3126910588934124
3,1.2600317413497117,1.334275754563813
4,1.3088016009778183,1.3530382261106872
0,1.077522517419306,1.2583890454420774
1,1.1458500275301204,1.2876571255595186
2,1.2061191627612917,1.3126910588934124
3,1.2600317413497117,1.334275754563813
4,1.3088016009778183,1.3530382261106872
0,1.077522517419306,1.2583890454420774
1,1.1458500275301204,1.2876571255595186
2,1.2061191627612917,1.3126910588934124
3,1.2600317413497117,1.334275754563813
4,1.3088016009778183,1.3530382261106872
0,1.077522517419306,1.2583890454420774
1,1.1458500275301204,1.2876571255595186
2,1.2061191627612917,1.3126910588934124
3,1.2600317413497117,1.334275754563813
4,1.3088016009778183,1.3530382261106872
0,1.0746494933675212,1.2569162231923254
1,1.1423099515015749,1.2860892070245427
2,1.2019907051902545,1.3110418014371592
3,1.255376958553866,1.332556365265372
4,1.3036706991017002,1.3512578747901878
0,1.0677284086992223,1.2537078535621629
1,1.1341631253092839,1.2827056191358257
2,1.1927626983498156,1.3075083437180357
3,1.245181802667104,1.3288936871542167
4,1.2926006504818577,1.347482872003911
0,1.0677284086992223,1.2537078535621629
1,1.1341631253092839,1.2827056191358257
2,1.1927626983498156,1.3075083437180357
3,1.245181802667104,1.3288936871542167
4,1.2926006504818577,1.347482872003911
0,1.0677284086992223,1.2537078535621629
1,1.1341631253092839,1.2827056191358257
2,1.1927626983498156,1.3075083437180357
3,1.245181802667104,1.3288936871542167
4,1.2926006504818577,1.347482872003911
0,1.067062299951272,1.2523650683983174
1,1.1322559965601195,1.281184809370495
2,1.1897609123805002,1.3058352637666357
3,1.2412008124470155,1.3270893171821019
4,1.2877338622697638,1.345564378334355
0,1.067062299951272,1.2523650683983174
1,1.1322559965601195,1.281184809370495
2,1.1897609123805002,1.3058352637666357
3,1.2412008124470155,1.3270893171821019
4,1.2877338622697638,1.345564378334355
0,1.056652755980758,1.2497693369897314
1,1.1224525997447306,1.2786761078972573
2,1.1804921752476165,1.3034010018053446
3,1.2324103446976324,1.3247192382714639
4,1.279376041804344,1.3432500904656692
0,1.0655373534342807,1.253698883735805
1,1.1326851578145185,1.2827986588897096
2,1.19191371884514,1.3076886355575001
3,1.2448954720923795,1.3291492092696726
4,1.2928232977756025,1.347803787949065
0,1.0609676021559133,1.250675360376218
1,1.1263277715725213,1.279519018136174
2,1.1839795268159532,1.3041899293326378
3,1.2355507792223483,1.3254616209595458
4,1.2822026516899319,1.3439520141065309
0,1.0663014523027559,1.251134656945092
1,1.1304123123299215,1.2797985562304155
2,1.186962098594596,1.3043157142031596
3,1.2375476061592672,1.325454837108322
4,1.2833077639506338,1.3438299950484855
0,1.0663014523027559,1.251134656945092
1,1.1304123123299215,1.2797985562304155
2,1.186962098594596,1.3043157142031596
3,1.2375476061592672,1.325454837108322
4,1.2833077639506338,1.3438299950484855
0,1.0528843327821984,1.245336436924219
1,1.115125972052482,1.2737302108617117
2,1.1700269887601986,1.2980163219081706
3,1.2191376216983678,1.3189562321078054
4,1.2635635931015687,1.3371582246359424
0,1.071092488395146,1.2560225332684956
1,1.138947109941245,1.2852232162356616
2,1.19879912789696,1.3101995026121835
3,1.2523385823679136,1.331734494066527
4,1.3007709101748912,1.3504537602815412
0,1.0470087647736952,1.249717583983157
1,1.1159902663988568,1.2790787211970875
2,1.1768362630282307,1.3041922492683335
3,1.2312648617212356,1.3258455729150018
4,1.2805015183144441,1.3446676992502362
0,1.063842296123084,1.246815125533398
1,1.1241191694782404,1.274923467489304
2,1.1772871398266744,1.2989654393517194
3,1.224847509969736,1.3196948484719386
4,1.2678710980908972,1.3377138631822072
0,1.063842296123084,1.246815125533398
1,1.1241191694782404,1.274923467489304
2,1.1772871398266744,1.2989654393517194
3,1.224847509969736,1.3196948484719386
4,1.2678710980908972,1.3377138631822072
0,1.063842296123084,1.246815125533398
1,1.1241191694782404,1.274923467489304
2,1.1772871398266744,1.2989654393517194
3,1.224847509969736,1.3196948484719386
4,1.2678710980908972,1.3377138631822072
0,1.063842296123084,1.246815125533398
1,1.1241191694782404,1.274923467489304
2,1.1772871398266744,1.2989654393517194
3,1.224847509969736,1.3196948484719386
4,1.2678710980908972,1.3377138631822072
0,1.063842296123084,1.246815125533398
1,1.1241191694782404,1.274923467489304
2,1.1772871398266744,1.2989654393517194
3,1.224847509969736,1.3196948484719386
4,1.2678710980908972,1.3377138631822072
0,1.0593265533392988,1.245806239110808
1,1.1199800850615667,1.2739694185753894
2,1.1734802916355935,1.2980582947284474
3,1.2213378572096745,1.3188281455493633
4,1.2646302913002256,1.3368823141608137
0,1.0593265533392988,1.245806239110808
1,1.1199800850615667,1.2739694185753894
2,1.1734802916355935,1.2980582947284474
3,1.2213378572096745,1.3188281455493633
4,1.2646302913002256,1.3368823141608137
0,1.0628871608114179,1.2472709615888662
1,1.123956357280893,1.2754945924541774
2,1.1778232061461387,1.299635174640898
3,1.226008744425707,1.320449607309423
4,1.2695978659169962,1.3385425286399313
0,1.0628871608114179,1.2472709615888662
1,1.123956357280893,1.2754945924541774
2,1.1778232061461387,1.299635174640898
3,1.226008744425707,1.320449607309423
4,1.2695978659169962,1.3385425286399313
0,1.0628871608114179,1.2472709615888662
1,1.123956357280893,1.2754945924541774
2,1.1778232061461387,1.299635174640898
3,1.226008744425707,1.320449607309423
4,1.2695978659169962,1.3385425286399313
0,1.0628871608114179,1.2472709615888662
1,1.123956357280893,1.2754945924541774
2,1.1778232061461387,1.299635174640898
3,1.226008744425707,1.320449607309423
4,1.2695978659169962,1.3385425286399313
0,1.0628871608114179,1.2472709615888662
1,1.123956357280893,1.2754945924541774
2,1.1778232061461387,1.299635174640898
3,1.226008744425707,1.320449607309423
4,1.2695978659169962,1.3385425286399313
0,1.0628871608114179,1.2472709615888662
1,1.123956357280893,1.2754945924541774
2,1.1778232061461387,1.299635174640898
3,1.226008744425707,1.320449607309423
4,1.2695978659169962,1.3385425286399313
0,1.0628871608114179,1.2472709615888662
1,1.123956357280893,1.2754945924541774
2,1.1778232061461387,1.299635174640898
3,1.226008744425707,1.320449607309423
4,1.2695978659169962,1.3385425286399313
0,1.0619172926967317,1.2471305264808639
1,1.123148993698666,1.2753777722975963
2,1.1771591817200813,1.2995385531142647
3,1.2254729412441085,1.3203704013952127
4,1.269178052959893,1.338478461226516
0,1.06093064159903,1.246755679294282
1,1.1220801753587155,1.2749909859787867
2,1.1760178867359996,1.299141554870414
3,1.224266813692618,1.3199645982507786
4,1.2679132772173005,1.3380650044325146
0,1.0609568621402243,1.247330588276451
1,1.1227127231203782,1.2756539330351455
2,1.1771852530090565,1.2998798037324009
3,1.2259125914264581,1.32076777364813
4,1.2699918307596398,1.3389246171450369
0,1.0609568621402243,1.247330588276451
1,1.1227127231203782,1.2756539330351455
2,1.1771852530090565,1.2998798037324009
3,1.2259125914264581,1.32076777364813
4,1.2699918307596398,1.3389246171450369
0,1.070971134029703,1.2522484717181666
1,1.1347669385153427,1.2808669396417662
2,1.191038826097528,1.3053452387048685
3,1.2413757448198035,1.3264508567777094
4,1.2869110266496375,1.3447968906814396
0,1.070971134029703,1.2522484717181666
1,1.1347669385153427,1.2808669396417662
2,1.191038826097528,1.3053452387048685
3,1.2413757448198035,1.3264508567777094
4,1.2869110266496375,1.3447968906814396
0,1.070971134029703,1.2522484717181666
1,1.1347669385153427,1.2808669396417662
2,1.191038826097528,1.3053452387048685
3,1.2413757448198035,1.3264508567777094
4,1.2869110266496375,1.3447968906814396
0,1.070971134029703,1.2522484717181666
1,1.1347669385153427,1.2808669396417662
2,1.191038826097528,1.3053452387048685
3,1.2413757448198035,1.3264508567777094
4,1.2869110266496375,1.3447968906814396
0,1.086916107779337,1.2677533657177023
1,1.16251959637945,1.2980467395685393
2,1.229206599476718,1.3239576397163306
3,1.2888601565008484,1.3462984715295643
4,1.3428233628352042,1.365718213537051
0,1.086916107779337,1.2677533657177023
1,1.16251959637945,1.2980467395685393
2,1.229206599476718,1.3239576397163306
3,1.2888601565008484,1.3462984715295643
4,1.3428233628352042,1.365718213537051
0,1.086916107779337,1.2677533657177023
1,1.16251959637945,1.2980467395685393
2,1.229206599476718,1.3239576397163306
3,1.2888601565008484,1.3462984715295643
4,1.3428233628352042,1.365718213537051
0,1.086916107779337,1.2677533657177023
1,1.16251959637945,1.2980467395685393
2,1.229206599476718,1.3239576397163306
3,1.2888601565008484,1.3462984715295643
4,1.3428233628352042,1.365718213537051
0,1.086916107779337,1.2677533657177023
1,1.16251959637945,1.2980467395685393
2,1.229206599476718,1.3239576397163306
3,1.2888601565008484,1.3462984715295643
4,1.3428233628352042,1.365718213537051
0,1.086916107779337,1.2677533657177023
1,1.16251959637945,1.2980467395685393
2,1.229206599476718,1.3239576397163306
3,1.2888601565008484,1.3462984715295643
4,1.3428233628352042,1.365718213537051
0,0.9937413604665897,1.2219824297821988
1,1.0505991642385815,1.249590447230869
2,1.1007513014805794,1.2732044753979956
3,1.1456139169812913,1.2935649039707449
4,1.1861970891797993,1.3112631827703027
0,1.045713480996889,1.2273447716339578
1,1.091471641440846,1.2532977777889016
2,1.1318331994026951,1.275496221393333
3,1.1679378433008183,1.2946361081689157
4,1.2005984664974325,1.3112734324342612
0,1.0427171616044761,1.2271508240709617
1,1.0891953726143588,1.2532125840900399
2,1.1301920601874096,1.2755040483836868
3,1.1668648468827771,1.2947241392263247
4,1.2000394177553475,1.3114311807834516
0,1.0427171616044761,1.2271508240709617
1,1.0891953726143588,1.2532125840900399
2,1.1301920601874096,1.2755040483836868
3,1.1668648468827771,1.2947241392263247
4,1.2000394177553475,1.3114311807834516
0,1.0400931297861074,1.22393792732599
1,1.0841255057935952,1.2496295106982849
2,1.1229648139996329,1.271604350961242
3,1.1577077590899565,1.2905514430204597
4,1.189136575879774,1.3070211807033756
0,1.0506349087601015,1.2313520081751654
1,1.098956732759118,1.2576913555106222
2,1.1415796022371711,1.2802202491930323
3,1.1797070582158498,1.2996450558121047
4,1.214197537520365,1.3165300463192289
0,1.0506349087601015,1.2313520081751654
1,1.098956732759118,1.2576913555106222
2,1.1415796022371711,1.2802202491930323
3,1.1797070582158498,1.2996450558121047
4,1.214197537520365,1.3165300463192289
0,1.0506349087601015,1.2313520081751654
1,1.098956732759118,1.2576913555106222
2,1.1415796022371711,1.2802202491930323
3,1.1797070582158498,1.2996450558121047
4,1.214197537520365,1.3165300463192289
0,1.0506349087601015,1.2313520081751654
1,1.098956732759118,1.2576913555106222
2,1.1415796022371711,1.2802202491930323
3,1.1797070582158498,1.2996450558121047
4,1.214197537520365,1.3165300463192289
0,1.0506349087601015,1.2313520081751654
1,1.098956732759118,1.2576913555106222
2,1.1415796022371711,1.2802202491930323
3,1.1797070582158498,1.2996450558121047
4,1.214197537520365,1.3165300463192289
0,1.0506349087601015,1.2313520081751654
1,1.098956732759118,1.2576913555106222
2,1.1415796022371711,1.2802202491930323
3,1.1797070582158498,1.2996450558121047
4,1.214197537520365,1.3165300463192289
0,1.0506349087601015,1.2313520081751654
1,1.098956732759118,1.2576913555106222
2,1.1415796022371711,1.2802202491930323
